,,,"D001","D002","D003","D004","D005","D006","D007","D008","D009","D010","D011","D012","D013","D014","D015","D016","D017"
,,,"Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:","Total:"
"GEO.id","GEO.id2","GEO.display-label",,"Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Not Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:","Hispanic or Latino:"
"Id","Id2","Geography",,,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races",,"White alone","Black or African American alone","American Indian and Alaska Native alone","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some Other Race alone","Two or More Races"
"1000000US060750102003009",60750102003009,"Block 3009, Block Group 3, Census Tract 102, San Francisco County, California",14,12,12,0,0,0,0,0,0,2,1,0,0,0,0,1,0
"1000000US060750102003010",60750102003010,"Block 3010, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750103001000",60750103001000,"Block 1000, Block Group 1, Census Tract 103, San Francisco County, California",29,29,22,0,0,4,0,0,3,0,0,0,0,0,0,0,0
"1000000US060750103001001",60750103001001,"Block 1001, Block Group 1, Census Tract 103, San Francisco County, California",99,96,56,0,0,37,0,1,2,3,2,0,0,0,0,0,1
"1000000US060750103001002",60750103001002,"Block 1002, Block Group 1, Census Tract 103, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750103001003",60750103001003,"Block 1003, Block Group 1, Census Tract 103, San Francisco County, California",62,58,49,0,0,7,0,0,2,4,2,0,0,0,0,2,0
"1000000US060750103001004",60750103001004,"Block 1004, Block Group 1, Census Tract 103, San Francisco County, California",52,49,36,0,0,10,0,0,3,3,1,0,0,0,0,0,2
"1000000US060750103001005",60750103001005,"Block 1005, Block Group 1, Census Tract 103, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1000000US060750103001006",60750103001006,"Block 1006, Block Group 1, Census Tract 103, San Francisco County, California",79,72,70,0,0,1,0,0,1,7,4,0,0,0,0,1,2
"1000000US060750103001007",60750103001007,"Block 1007, Block Group 1, Census Tract 103, San Francisco County, California",214,203,119,2,1,79,0,0,2,11,8,0,0,0,0,3,0
"1000000US060750103001008",60750103001008,"Block 1008, Block Group 1, Census Tract 103, San Francisco County, California",111,95,48,7,1,29,2,2,6,16,9,0,0,0,0,4,3
